graph_id,src,dst
501,286,2130
501,2130,286
501,2212,1077
501,286,24
501,1077,1992
501,24,221
501,1992,2159
502,2067,242
502,242,1282
502,1282,242
502,2067,1282
503,233,2130
503,2130,1376
503,233,94
503,1376,1793
503,94,174
503,1793,2023
504,38,1375
504,1375,93
504,93,2018
504,2018,252
504,252,1950
504,38,210
504,1950,1374
505,23,1222
505,1222,49
505,49,1996
505,1996,223
505,223,1242
505,1242,2231
506,291,1099
506,1099,290
506,290,1372
506,1372,92
506,92,2222
506,291,292
506,2222,1189
507,86,1077
507,1077,24
507,24,1166
507,1166,1077
507,86,24
507,1077,1077
507,24,24
507,1077,2233
508,2224,294
508,294,2230
508,2230,294
508,2224,1286
508,294,146
508,1286,2021
509,1146,34
509,34,1177
509,1177,34
509,1146,1177
510,208,1286
510,1286,146
510,146,1078
510,1078,1286
510,208,146
510,1286,1177
511,191,1376
511,1376,94
511,94,1793
511,1793,174
511,174,1692
511,1692,1376
511,191,94
511,1376,1793
511,94,174
511,1793,2018
511,174,252
512,1298,66
512,66,1229
512,1229,66
512,1298,1177
513,2024,228
513,228,1177
513,1177,228
513,2024,1264
514,253,1376
514,1376,94
514,94,1189
514,1189,1376
514,253,94
514,1376,1793
514,94,174
514,1793,2130
515,115,2144
515,2144,272
515,272,2258
515,2258,2144
515,115,272
515,2144,1545
516,40,1306
516,1306,70
516,70,1228
516,1228,54
516,54,2226
516,2226,296
516,296,2130
516,2130,2231
517,1326,78
517,78,1151
517,1151,36
517,36,1313
517,1313,76
517,76,2025
517,2025,229
517,229,2130
517,2130,78
517,1326,1654
517,78,153
517,1654,1282
518,1751,214
518,214,1262
518,1262,214
518,1751,1262
519,285,1262
519,1262,1077
519,285,24
519,1077,2263
520,1348,86
520,86,1992
520,1992,221
520,221,2314
520,2314,86
520,1348,1177
521,1165,38
521,38,2015
521,2015,226
521,226,2314
521,2314,38
521,1165,1166
522,1077,24
522,24,1151
522,1151,36
522,36,1313
522,1313,76
522,76,24
522,1077,1077
522,24,24
522,1077,2233
523,1752,215
523,215,1262
523,1262,215
523,1752,1262
524,1380,95
524,95,1366
524,1366,90
524,90,1612
524,1612,95
524,1380,1366
524,95,90
524,1366,1177
525,1067,20
525,20,1177
525,1177,20
525,1067,1069
526,1874,198
526,198,2144
526,2144,272
526,272,1221
526,1221,198
526,1874,2144
526,198,272
526,2144,2021
527,1305,69
527,69,2224
527,2224,294
527,294,2227
527,2227,297
527,297,1177
527,1177,69
527,1305,1996
527,69,223
527,1996,1306
527,223,70
527,1306,2314
528,2015,226
528,226,1654
528,1654,153
528,153,1378
528,1378,226
528,2015,2219
528,226,291
528,2219,1280
529,2133,264
529,264,1548
529,1548,264
529,2133,1366
529,264,90
529,1366,1372
529,90,92
530,1099,27
530,27,1372
530,1372,92
530,92,27
530,1099,1372
530,27,92
531,1895,207
531,207,1177
531,1177,207
531,1895,2230
532,1179,40
532,40,1282
532,1282,40
532,1179,2007
532,40,224
532,2007,2231
533,294,2048
533,2048,1241
533,294,56
533,1241,1305
533,56,69
533,1305,1375
533,69,93
533,1375,1242
534,1992,221
534,221,1281
534,1281,221
534,1992,2007
534,221,224
534,2007,1310
534,224,74
534,1310,1232
535,27,1372
535,1372,92
535,92,1372
535,27,92
536,2219,291
536,291,1241
536,1241,56
536,56,1003
536,1003,77
536,77,2231
536,2231,291
536,2219,1654
536,291,153
536,1654,1539
537,2016,227
537,227,1376
537,1376,94
537,94,1793
537,1793,174
537,174,227
537,2016,1313
537,227,76
537,1313,2235
538,2223,293
538,293,1175
538,1175,293
538,2223,1241
538,293,56
538,1241,1377
539,23,2114
539,2114,256
539,256,1161
539,1161,1795
540,78,1366
540,1366,90
540,90,1647
540,1647,151
540,151,1170
540,1170,1151
540,78,36
540,1151,1313
540,36,76
540,1313,1242
541,2184,281
541,281,1287
541,1287,58
541,58,1376
541,1376,94
541,94,2222
541,2222,292
541,292,1263
541,1263,281
541,2184,1291
541,281,62
541,1291,2240
542,1972,218
542,218,1282
542,1282,218
542,1972,2058
543,1300,68
543,68,1285
543,1285,68
543,1300,1173
544,268,1093
544,1093,1376
544,268,94
544,1376,1189
